id,drug_id,name,drug_type,amount,exp,mfg,brand,description,updated_date
1,bl1,Madopar,PILLS,123,12month,9/29/2021,"F.Hoffmann-La Roche., Ltd",The drug works on the blood.,10/29/2021
2,bl2,Trihexyphenidyl 2mg,PELLETS,220,12month,9/29/2021,Pharmedic,The drug works on the blood.,10/29/2021
3,bl3,Stalevo 100/25/200,PELLETS,200,12month,9/29/2021,Orion Corporation,The drug works on the blood.,10/29/2021
4,bl4,Madopar,CAPSULES,200,12month,9/29/2021,"F.Hoffmann-La Roche., Ltd",The drug works on the blood.,10/29/2021
5,bl5,Sifrol,CAPSULES,200,12month,9/29/2021,Boehringer Ingelheim pharma GmbH & Co,The drug works on the blood.,10/29/2021
6,bl6,Sifrol,CAPSULES,200,12month,9/29/2021,Fresenius Kabi Vietnam Joint Stock Company - VIETNAM,The drug works on the blood.,10/29/2021
7,bl7,Masopen 100/10,INHALANTS,200,12month,9/29/2021,CPC1 Pharmaceutical Joint Stock Company Hanoi - VIETNAM,The drug works on the blood.,10/29/2021
8,bl8,Sifrol,LINIMENT,200,12month,9/29/2021,B.Braun Melsungen AG - Germany,The drug works on the blood.,10/29/2021
9,bl9,Stalevo 150/37.5/200,LINIMENT,200,12month,9/29/2021,Warsaw Pharmaceutical Works Polfa - Poland,The drug works on the blood.,10/29/2021
10,bl10,Syndopa 275,LINIMENT,200,12month,9/29/2021,B.Braun Melsungen AG - Germany,The drug works on the blood.,10/29/2021
11,bl11,Danapha-Trihex 2,LOTIONS,200,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
12,bl12,Trihexyphenidyl,PASTE,200,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
13,bl13,Stalevo 150/37.5/200,POWDER,200,12month,9/29/2021,Laboratoires UPSA - France,The drug works on the blood.,10/29/2021
14,bl14,Madopar HBS,EMULSIONS,200,12month,9/29/2021,Stada-Vietnam - VIETNAM COMPANY LIMITED,The drug works on the blood.,10/29/2021
15,bl15,Sifstad 0.18,GELS,200,12month,9/29/2021,Sanofi Vietnam Pharmaceutical Joint Stock Company - VIETNAM,The drug works on the blood.,10/29/2021
16,bl16,Sifrol,MAGMAS,200,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
17,bl17,Succinimide Pharbiol,MIXTURES,200,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
18,bl18,Apo-Trihex 2mg,LIQUID,200,6month,9/29/2021,Branch of OPC Pharmaceutical Joint Stock Company in Binh Duong - OPC Pharmaceutical Factory - VIETNAM (,The drug works on the blood.,10/29/2021
19,bl19,Uro-Vaxom,LIQUID,200,12month,9/29/2021,PT. Indofarma Tbk. - INDONESIA,The drug works on the blood.,10/29/2021
20,bl20,Althax,TABLETS,200,12month,9/29/2021,Central Pharmaceutical Company Limited 3 - VIETNAM,The drug works on the blood.,10/29/2021
21,bl21,ProIVIG,OIMENTS,200,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
22,bl22,Keytruda,LOZENGES,200,12month,9/29/2021,nd-Swift Ltd - INDIA,The drug works on the blood.,10/29/2021
23,bl23,Beriate,LOZENGES,200,12month,9/29/2021,Pharmaceutical & Medical Biomedical Enterprise (MEBIPHAR) Ho Chi Minh City - VIETNAM,The drug works on the blood.,10/29/2021
24,bl24,Hizentra,OIMENTS,200,12month,9/29/2021,U.C.B. Farchin S.A - Switzerland,The drug works on the blood.,10/29/2021
25,bl25,Privigen,LOZENGES,200,12month,9/29/2021,"Korea Drug Co., Ltd - KOREA",The drug works on the blood.,10/29/2021
26,bl26,Darzalex,PILLS,200,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
27,bl27,Simponi,PELLETS,200,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
28,bl28,Hizentra,PELLETS,200,12month,9/29/2021,Farmak JSC - UKraine,The drug works on the blood.,10/29/2021
29,bl29,Mabthera,CAPSULES,200,12month,9/29/2021,Khanh Hoi Pharmaceutical & Medical Services Joint Stock Company (KHAHOPHARMA) - VIETNAM,The drug works on the blood.,10/29/2021
30,bl30,Imurel 50mg,CAPSULES,200,12month,9/29/2021,"Ind-Swift., Ltd - INDIA",The drug works on the blood.,10/29/2021
31,bl31,Prograf,CAPSULES,200,12month,9/29/2021,Khanh Hoi Pharmaceutical & Medical Services Joint Stock Company (KHAHOPHARMA) - VIETNAM,The drug works on the blood.,10/29/2021
32,bl32,HYYR,INHALANTS,200,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
33,bl33,Hytinon,LINIMENT,200,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
34,bl34,Tacropic 0.03%,LINIMENT,200,12month,9/29/2021,"Micro Labs., Ltd - INDIA",The drug works on the blood.,10/29/2021
35,bl35,Prograf,LINIMENT,200,12month,9/29/2021,"Axon Drugs Private., Ltd - INDIA",The drug works on the blood.,10/29/2021
36,bl36,Iritero 100mg/5ml,LOTIONS,200,12month,9/29/2021,Cuu Long Pharmaceutical and Medical Equipment Company - VIETNAM,The drug works on the blood.,10/29/2021
37,bl37,Prograf 0.5mg,PASTE,500,12month,9/29/2021,"Furen Pharmaceutical Group Co., Ltd. - CHINA",The drug works on the blood.,10/29/2021
38,bl38,Phastarxin,POWDER,500,12month,9/29/2021,Cenexi SAS - FRANCE,The drug works on the blood.,10/29/2021
39,bl39,Fluzinstad 5,EMULSIONS,500,12month,9/29/2021,Novartis Pharm Stein A.G - Switzerland,The drug works on the blood.,10/29/2021
40,bl40,Sobelin,GELS,500,12month,9/29/2021,"Sun Pharmaceutical Industries., Ltd - INDIA",The drug works on the blood.,10/29/2021
41,bl41,Reinal,MAGMAS,500,12month,9/29/2021,DANAPHA Pharmaceutical Joint Stock Company - VIETNAM,The drug works on the blood.,10/29/2021
42,bl42,Siberian,MIXTURES,500,12month,9/29/2021,Stellapharm - VIETNAM,The drug works on the blood.,10/29/2021
43,bl43,Lelocin 5,LIQUID,500,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
44,bl44,Sarah Cap,LIQUID,500,12month,9/29/2021,TRAPHACO - VIETNAM JOINT STOCK COMPANY,The drug works on the blood.,10/29/2021
45,bl45,Reinal-5,TABLETS,500,12month,9/29/2021,Novartis Farma S.P.A Italy,The drug works on the blood.,10/29/2021
46,bl46,Lelocin 5,OIMENTS,500,12month,9/29/2021,Pharmedic - VIETNAM Pharmaceutical and Pharmaceutical Joint Stock Company,The drug works on the blood.,10/29/2021
47,bl47,Metomol Tablet,LOZENGES,500,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
48,bl48,Fluthepharm 10,LOZENGES,500,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
49,bl49,Lodegald-Flunarizin,OIMENTS,500,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
50,bl50,Sibendina,LOZENGES,500,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
51,bl51,Virtizin 5,OIMENTS,500,12month,9/29/2021,"F.Hoffmann-La Roche., Ltd",The drug works on the blood.,10/29/2021
52,bl52,Sibetinic Soft,LOZENGES,500,12month,9/29/2021,Pharmedic,The drug works on the blood.,10/29/2021
53,bl53,Sibetinic,LOZENGES,500,12month,9/29/2021,Orion Corporation,The drug works on the blood.,10/29/2021
54,bl54,Hagizin,OIMENTS,500,12month,9/29/2021,"F.Hoffmann-La Roche., Ltd",The drug works on the blood.,10/29/2021
55,bl55,Mezapizine 10,LOZENGES,500,12month,9/29/2021,Boehringer Ingelheim pharma GmbH & Co,The drug works on the blood.,10/29/2021
56,bl56,Sobelin,PILLS,500,12month,9/29/2021,Fresenius Kabi Vietnam Joint Stock Company - VIETNAM,The drug works on the blood.,10/29/2021
57,bl57,Darintab,PELLETS,500,12month,9/29/2021,CPC1 Pharmaceutical Joint Stock Company Hanoi - VIETNAM,The drug works on the blood.,10/29/2021
58,bl58,Oliveirim,PELLETS,500,12month,9/29/2021,B.Braun Melsungen AG - Germany,The drug works on the blood.,10/29/2021
59,bl59,Pentoxifylin,CAPSULES,500,12month,9/29/2021,Warsaw Pharmaceutical Works Polfa - Poland,The drug works on the blood.,10/29/2021
60,bl60,Advate,CAPSULES,500,12month,9/29/2021,B.Braun Melsungen AG - Germany,The drug works on the blood.,10/29/2021
61,bl61,Nanokine,CAPSULES,500,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
62,bl62,Epocassa,INHALANTS,500,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
63,bl63,Pentoxipharm,LINIMENT,500,12month,9/29/2021,Laboratoires UPSA - France,The drug works on the blood.,10/29/2021
64,bl64,Sintrom 4,OIMENTS,500,12month,9/29/2021,Stada-Vietnam - VIETNAM COMPANY LIMITED,The drug works on the blood.,10/29/2021
65,bl65,Somatin,LOZENGES,500,12month,9/29/2021,Sanofi Vietnam Pharmaceutical Joint Stock Company - VIETNAM,The drug works on the blood.,10/29/2021
66,bl66,Fontit-F,LOZENGES,500,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
67,bl67,Tophem,OIMENTS,500,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
68,bl68,Gon sa Ezeti-10,LOZENGES,500,12month,9/29/2021,Branch of OPC Pharmaceutical Joint Stock Company in Binh Duong - OPC Pharmaceutical Factory - VIETNAM (,The drug works on the blood.,10/29/2021
69,bl69,Arixtra,PILLS,500,12month,9/29/2021,PT. Indofarma Tbk. - INDONESIA,The drug works on the blood.,10/29/2021
70,bl70,Toxaxin Inj,PELLETS,500,12month,9/29/2021,Central Pharmaceutical Company Limited 3 - VIETNAM,The drug works on the blood.,10/29/2021
71,bl71,Arixtra,PELLETS,500,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
72,bl72,Replenine-VF,CAPSULES,500,12month,9/29/2021,nd-Swift Ltd - INDIA,The drug works on the blood.,10/29/2021
73,bl73,Hezoy,CAPSULES,500,12month,9/29/2021,Pharmaceutical & Medical Biomedical Enterprise (MEBIPHAR) Ho Chi Minh City - VIETNAM,The drug works on the blood.,10/29/2021
74,bl74,Transamin Tablets,CAPSULES,500,12month,9/29/2021,U.C.B. Farchin S.A - Switzerland,The drug works on the blood.,10/29/2021
75,bl75,Pronivel 2000 IU,INHALANTS,500,12month,9/29/2021,"Korea Drug Co., Ltd - KOREA",The drug works on the blood.,10/29/2021
76,bl76,Reliporex 10000 IU s,LINIMENT,500,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
77,bl77,Haemoctin SDH 250,LINIMENT,500,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
78,bl78,Reliporex 4000 IU,LINIMENT,500,12month,9/29/2021,Farmak JSC - UKraine,The drug works on the blood.,10/29/2021
79,bl79,Lefvox-750,LOTIONS,500,12month,9/29/2021,Khanh Hoi Pharmaceutical & Medical Services Joint Stock Company (KHAHOPHARMA) - VIETNAM,The drug works on the blood.,10/29/2021
80,bl80,Ciprofloxacin 500mg,PASTE,500,12month,9/29/2021,"Ind-Swift., Ltd - INDIA",The drug works on the blood.,10/29/2021
81,bl81,Ledvir,POWDER,500,12month,9/29/2021,Khanh Hoi Pharmaceutical & Medical Services Joint Stock Company (KHAHOPHARMA) - VIETNAM,The drug works on the blood.,10/29/2021
82,bl82,Vixbarin 400mg,EMULSIONS,500,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
83,bl83,Govou,GELS,500,24month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
84,bl84,Tavanic,MAGMAS,500,24month,9/29/2021,"Micro Labs., Ltd - INDIA",The drug works on the blood.,10/29/2021
85,bl85,Tavanic,MIXTURES,500,12month,9/29/2021,"Axon Drugs Private., Ltd - INDIA",The drug works on the blood.,10/29/2021
86,bl86,Augmex Duo Tabs,LIQUID,500,12month,9/29/2021,Cuu Long Pharmaceutical and Medical Equipment Company - VIETNAM,The drug works on the blood.,10/29/2021
87,bl87,Acnequidt,LIQUID,500,12month,9/29/2021,"Furen Pharmaceutical Group Co., Ltd. - CHINA",The drug works on the blood.,10/29/2021
88,bl88,Meropenem 1g,TABLETS,500,12month,9/29/2021,Cenexi SAS - FRANCE,The drug works on the blood.,10/29/2021
89,bl89,Albendazole 400mg,OIMENTS,500,12month,9/29/2021,Novartis Pharm Stein A.G - Switzerland,The drug works on the blood.,10/29/2021
90,bl90,Albendazol Stada 400 mg,LOZENGES,250,12month,9/29/2021,"Sun Pharmaceutical Industries., Ltd - INDIA",The drug works on the blood.,10/29/2021
91,bl91,Virclath,LINIMENT,250,12month,9/29/2021,DANAPHA Pharmaceutical Joint Stock Company - VIETNAM,The drug works on the blood.,10/29/2021
92,bl92,Eduar,LINIMENT,250,12month,9/29/2021,Stellapharm - VIETNAM,The drug works on the blood.,10/29/2021
93,bl93,Salgad,LINIMENT,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
94,bl94,Razirax,LOTIONS,250,12month,9/29/2021,TRAPHACO - VIETNAM JOINT STOCK COMPANY,The drug works on the blood.,10/29/2021
95,bl95,Guilaume,PASTE,250,12month,9/29/2021,Novartis Farma S.P.A Italy,The drug works on the blood.,10/29/2021
96,bl96,Cybercef 750 mg,GELS,250,12month,9/29/2021,Pharmedic - VIETNAM Pharmaceutical and Pharmaceutical Joint Stock Company,The drug works on the blood.,10/29/2021
97,bl97,Medoclav 1g,MAGMAS,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
98,bl98,Madopar,MIXTURES,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
99,bl99,Trihexyphenidyl 2mg,PILLS,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
100,bl100,Stalevo 100/25/200,PELLETS,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
101,bl101,Madopar,PELLETS,250,12month,9/29/2021,"F.Hoffmann-La Roche., Ltd",The drug works on the blood.,10/29/2021
102,bl102,Sifrol,CAPSULES,250,12month,9/29/2021,Pharmedic,The drug works on the blood.,10/29/2021
103,bl103,Sifrol,CAPSULES,250,12month,9/29/2021,Orion Corporation,The drug works on the blood.,10/29/2021
104,bl104,Masopen 100/10,CAPSULES,250,12month,9/29/2021,"F.Hoffmann-La Roche., Ltd",The drug works on the blood.,10/29/2021
105,bl105,Sifrol,INHALANTS,250,12month,9/29/2021,Boehringer Ingelheim pharma GmbH & Co,The drug works on the blood.,10/29/2021
106,bl106,Stalevo 150/37.5/200,LINIMENT,250,12month,9/29/2021,Fresenius Kabi Vietnam Joint Stock Company - VIETNAM,The drug works on the blood.,10/29/2021
107,bl107,Syndopa 275,LINIMENT,250,12month,9/29/2021,CPC1 Pharmaceutical Joint Stock Company Hanoi - VIETNAM,The drug works on the blood.,10/29/2021
108,bl108,Danapha-Trihex 2,LINIMENT,250,12month,9/29/2021,B.Braun Melsungen AG - Germany,The drug works on the blood.,10/29/2021
109,bl109,Trihexyphenidyl,LOTIONS,250,12month,9/29/2021,Warsaw Pharmaceutical Works Polfa - Poland,The drug works on the blood.,10/29/2021
110,bl110,Stalevo 150/37.5/200,PASTE,250,12month,9/29/2021,B.Braun Melsungen AG - Germany,The drug works on the blood.,10/29/2021
111,bl111,Madopar HBS,POWDER,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
112,bl112,Sifstad 0.18,EMULSIONS,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
113,bl113,Sifrol,GELS,250,12month,9/29/2021,Laboratoires UPSA - France,The drug works on the blood.,10/29/2021
114,bl114,Succinimide Pharbiol,MAGMAS,250,12month,9/29/2021,Stada-Vietnam - VIETNAM COMPANY LIMITED,The drug works on the blood.,10/29/2021
115,bl115,Apo-Trihex 2mg,MIXTURES,250,12month,9/29/2021,Sanofi Vietnam Pharmaceutical Joint Stock Company - VIETNAM,The drug works on the blood.,10/29/2021
116,bl116,Uro-Vaxom,LIQUID,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
117,bl117,Althax,LIQUID,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
118,bl118,ProIVIG,TABLETS,250,12month,9/29/2021,Branch of OPC Pharmaceutical Joint Stock Company in Binh Duong - OPC Pharmaceutical Factory - VIETNAM (,The drug works on the blood.,10/29/2021
119,bl119,Keytruda,OIMENTS,250,12month,9/29/2021,PT. Indofarma Tbk. - INDONESIA,The drug works on the blood.,10/29/2021
120,bl120,Beriate,LOZENGES,250,12month,9/29/2021,Central Pharmaceutical Company Limited 3 - VIETNAM,The drug works on the blood.,10/29/2021
121,bl121,Hizentra,LOZENGES,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
122,bl122,Privigen,OIMENTS,250,12month,9/29/2021,nd-Swift Ltd - INDIA,The drug works on the blood.,10/29/2021
123,bl123,Darzalex,LOZENGES,250,12month,9/29/2021,Pharmaceutical & Medical Biomedical Enterprise (MEBIPHAR) Ho Chi Minh City - VIETNAM,The drug works on the blood.,10/29/2021
124,bl124,Simponi,PILLS,250,12month,9/29/2021,U.C.B. Farchin S.A - Switzerland,The drug works on the blood.,10/29/2021
125,bl125,Hizentra,PELLETS,250,12month,9/29/2021,"Korea Drug Co., Ltd - KOREA",The drug works on the blood.,10/29/2021
126,bl126,Mabthera,PELLETS,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
127,bl127,Imurel 50mg,CAPSULES,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
128,bl128,Prograf,CAPSULES,250,12month,9/29/2021,Farmak JSC - UKraine,The drug works on the blood.,10/29/2021
129,bl129,HYYR,CAPSULES,250,12month,9/29/2021,Khanh Hoi Pharmaceutical & Medical Services Joint Stock Company (KHAHOPHARMA) - VIETNAM,The drug works on the blood.,10/29/2021
130,bl130,Hytinon,INHALANTS,250,12month,9/29/2021,"Ind-Swift., Ltd - INDIA",The drug works on the blood.,10/29/2021
131,bl131,Tacropic 0.03%,LINIMENT,250,12month,9/29/2021,Khanh Hoi Pharmaceutical & Medical Services Joint Stock Company (KHAHOPHARMA) - VIETNAM,The drug works on the blood.,10/29/2021
132,bl132,Prograf,LINIMENT,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
133,bl133,Iritero 100mg/5ml,LINIMENT,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
134,bl134,Prograf 0.5mg,LOTIONS,250,12month,9/29/2021,"Micro Labs., Ltd - INDIA",The drug works on the blood.,10/29/2021
135,bl135,Phastarxin,PASTE,250,12month,9/29/2021,"Axon Drugs Private., Ltd - INDIA",The drug works on the blood.,10/29/2021
